warning: `VIRTUAL_ENV=/opt/venv` does not match the project environment path `.venv` and will be ignored; use `--active` to target the active environment instead
Bytecode compiled 8557 files in 246ms
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 5, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 6,291,456
  lm_head                 : 2,097,152
  transformer_matrices    : 3,932,352
  scalars                 : 10
  total                   : 14,418,122
Estimated FLOPs per token: 5.819712e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.010783 | lrm: 1.00 | dt: 2228ms | tok/sec: 29,409 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.938978 | lrm: 1.00 | dt: 2086ms | tok/sec: 31,418 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.706007 | lrm: 1.00 | dt: 2089ms | tok/sec: 31,367 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.395015 | lrm: 1.00 | dt: 2092ms | tok/sec: 31,334 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.092858 | lrm: 1.00 | dt: 2094ms | tok/sec: 31,300 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.774053 | lrm: 1.00 | dt: 2102ms | tok/sec: 31,184 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.502744 | lrm: 1.00 | dt: 2100ms | tok/sec: 31,202 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.287629 | lrm: 1.00 | dt: 2105ms | tok/sec: 31,133 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.097019 | lrm: 1.00 | dt: 2103ms | tok/sec: 31,160 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.941905 | lrm: 1.00 | dt: 2110ms | tok/sec: 31,065 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.795839 | lrm: 1.00 | dt: 2108ms | tok/sec: 31,083 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.666202 | lrm: 1.00 | dt: 2112ms | tok/sec: 31,025 | mfu: 0.2% | epoch: 1 | remaining: 298s    
step 00012 (0.7%) | loss: 6.579681 | lrm: 1.00 | dt: 2112ms | tok/sec: 31,032 | mfu: 0.2% | epoch: 1 | remaining: 296s    
step 00013 (1.4%) | loss: 6.508052 | lrm: 1.00 | dt: 2110ms | tok/sec: 31,055 | mfu: 0.2% | epoch: 1 | remaining: 294s    
step 00014 (2.1%) | loss: 6.431713 | lrm: 1.00 | dt: 2110ms | tok/sec: 31,063 | mfu: 0.2% | epoch: 1 | remaining: 292s    
step 00015 (2.8%) | loss: 6.363480 | lrm: 1.00 | dt: 2112ms | tok/sec: 31,028 | mfu: 0.2% | epoch: 1 | remaining: 289s    
step 00016 (3.5%) | loss: 6.289149 | lrm: 1.00 | dt: 2125ms | tok/sec: 30,846 | mfu: 0.2% | epoch: 1 | remaining: 287s    
step 00017 (4.2%) | loss: 6.222963 | lrm: 1.00 | dt: 2111ms | tok/sec: 31,046 | mfu: 0.2% | epoch: 1 | remaining: 285s    
step 00018 (4.9%) | loss: 6.188148 | lrm: 1.00 | dt: 2126ms | tok/sec: 30,819 | mfu: 0.2% | epoch: 1 | remaining: 283s    
step 00019 (5.6%) | loss: 6.138879 | lrm: 1.00 | dt: 2109ms | tok/sec: 31,069 | mfu: 0.2% | epoch: 1 | remaining: 281s    
step 00020 (6.3%) | loss: 6.095453 | lrm: 1.00 | dt: 2112ms | tok/sec: 31,035 | mfu: 0.2% | epoch: 1 | remaining: 279s    
step 00021 (7.0%) | loss: 6.045163 | lrm: 1.00 | dt: 2124ms | tok/sec: 30,850 | mfu: 0.2% | epoch: 1 | remaining: 277s    
step 00022 (7.8%) | loss: 6.011722 | lrm: 1.00 | dt: 2115ms | tok/sec: 30,985 | mfu: 0.2% | epoch: 1 | remaining: 275s    
step 00023 (8.5%) | loss: 5.973880 | lrm: 1.00 | dt: 2126ms | tok/sec: 30,829 | mfu: 0.2% | epoch: 1 | remaining: 272s    
step 00024 (9.2%) | loss: 5.939199 | lrm: 1.00 | dt: 2130ms | tok/sec: 30,773 | mfu: 0.2% | epoch: 1 | remaining: 270s    
step 00025 (9.9%) | loss: 5.912260 | lrm: 1.00 | dt: 2115ms | tok/sec: 30,993 | mfu: 0.2% | epoch: 1 | remaining: 268s    
step 00026 (10.6%) | loss: 5.878412 | lrm: 1.00 | dt: 2129ms | tok/sec: 30,781 | mfu: 0.2% | epoch: 1 | remaining: 266s    
step 00027 (11.3%) | loss: 5.847522 | lrm: 1.00 | dt: 2132ms | tok/sec: 30,739 | mfu: 0.2% | epoch: 1 | remaining: 264s    
step 00028 (12.0%) | loss: 5.807847 | lrm: 1.00 | dt: 2115ms | tok/sec: 30,982 | mfu: 0.2% | epoch: 1 | remaining: 262s    
step 00029 (12.7%) | loss: 5.782362 | lrm: 1.00 | dt: 2128ms | tok/sec: 30,802 | mfu: 0.2% | epoch: 1 | remaining: 260s    
step 00030 (13.4%) | loss: 5.749688 | lrm: 1.00 | dt: 2118ms | tok/sec: 30,947 | mfu: 0.2% | epoch: 1 | remaining: 258s    
step 00031 (14.1%) | loss: 5.732473 | lrm: 1.00 | dt: 2132ms | tok/sec: 30,739 | mfu: 0.2% | epoch: 1 | remaining: 255s    
step 00032 (14.8%) | loss: 5.717582 | lrm: 1.00 | dt: 2129ms | tok/sec: 30,779 | mfu: 0.2% | epoch: 1 | remaining: 253s    
step 00033 (15.5%) | loss: 5.716504 | lrm: 1.00 | dt: 2119ms | tok/sec: 30,932 | mfu: 0.2% | epoch: 1 | remaining: 251s    
step 00034 (16.2%) | loss: 5.696994 | lrm: 1.00 | dt: 2132ms | tok/sec: 30,741 | mfu: 0.2% | epoch: 1 | remaining: 249s    
step 00035 (17.0%) | loss: 5.668943 | lrm: 1.00 | dt: 2130ms | tok/sec: 30,761 | mfu: 0.2% | epoch: 1 | remaining: 247s    
